PSEUDO_DEPTH;TEMP       ;CALI       ;GR         ;ILD        ;NPHI       ;RHOB       ;DT         ;TVD        ;TVDSS      ;VCL        ;PHIE       ;PHIT       ;SW         ;EF;PERFOS     ;RES_ID;WELL_ID;X;Y;HACKANAME
2074.53;87.19;10.31;55.08;3.3128;0.1678;2.3124;108.95;1588.62;1566.62;0.483;0.0591;0.2066;0.5863;5;0;3005;210075859;15;20;B03
2074.68;87.2;10.25;52.89;3.6592;0.1739;2.2895;110.91;1588.77;1566.77;0.4424;0.0871;0.2222;0.5225;5;0;3005;210075859;15;20;B03
2074.83;87.2;10.2;52.54;4.122;0.1618;2.2686;114.92;1588.92;1566.92;0.4359;0.073;0.2061;0.5004;5;0;3005;210075859;15;20;B03
2074.98;87.21;10.18;54.36;4.7189;0.1448;2.2533;119.66;1589.06;1567.06;0.4696;0.0335;0.1768;0.4566;5;0;3005;210075859;15;20;B03
2075.9;87.24;9.76;48.13;13.0483;0.1085;2.0885;126.26;1589.94;1567.94;0.3543;0.0331;0.1412;0.2211;1;1;3005;210075859;15;20;B03
2076.05;87.24;9.79;43.96;18.5263;0.0984;2.057;119.55;1590.09;1568.09;0.277;0.0547;0.1393;0.1924;1;1;3005;210075859;15;20;B03
2076.2;87.25;9.8;39.76;21.1927;0.0905;2.0347;111.93;1590.23;1568.23;0.1993;0.0787;0.1395;0.2108;1;1;3005;210075859;15;20;B03
2076.36;87.25;9.8;36.68;21.9393;0.0858;2.0371;110.46;1590.38;1568.38;0.1422;0.0971;0.1405;0.2376;1;1;3005;210075859;15;20;B03
2076.51;87.26;9.81;34.37;21.5784;0.092;2.0728;107.6;1590.52;1568.52;0.0995;0.126;0.1564;0.243;1;1;3005;210075859;15;20;B03
2076.66;87.26;9.83;32.18;19.9057;0.1128;2.1265;106.91;1590.67;1568.67;0.0589;0.1781;0.1961;0.2199;1;1;3005;210075859;15;20;B03
2076.81;87.27;9.85;31.9;17.5322;0.13;2.1149;112.32;1590.82;1568.82;0.0538;0.2084;0.2248;0.208;1;1;3005;210075859;15;20;B03
2076.97;87.27;9.89;35.1;15.1647;0.1454;2.0414;120.62;1590.96;1568.96;0.113;0.2071;0.2415;0.2037;1;1;3005;210075859;15;20;B03
2077.12;87.28;9.98;38.92;13.9679;0.1586;1.9815;122.57;1591.11;1569.11;0.1837;0.197;0.2531;0.1964;1;1;3005;210075859;15;20;B03
2077.27;87.29;10.14;42.44;13.8888;0.1702;2.0018;119.1;1591.26;1569.26;0.249;0.1872;0.2632;0.1817;1;1;3005;210075859;15;20;B03
2077.42;87.29;10.25;43.33;14.1147;0.1602;2.0243;109.76;1591.4;1569.4;0.2653;0.1628;0.2437;0.1876;1;1;3005;210075859;15;20;B03
2077.58;87.3;10.24;43.69;14.5063;0.1351;2.0761;103.91;1591.55;1569.55;0.272;0.1169;0.1999;0.208;1;1;3005;210075859;15;20;B03
