F1,Name,Play,Value,Label
Source,Pleistocene,Moray Firth & CNS,,false
Source,Oligo-Miocene,Moray Firth & CNS,,false
Source,Eocene,Moray Firth & CNS,,false
Source,Paleocene,Moray Firth & CNS,,false
Source,Upper Cretaceous,Moray Firth & CNS,,false
Source,Lower Cretaceous,Moray Firth & CNS,1,Source
Source,Upper Jurassic,Moray Firth & CNS,2,Source
Source,Middle Jurassic,Moray Firth & CNS,1,Source
Source,Lower Jurassic,Moray Firth & CNS,,false
Source,Triassic,Moray Firth & CNS,,false
Source,Permian,Moray Firth & CNS,,false
Source,Carboniferous,Moray Firth & CNS,,false
Source,Devonian,Moray Firth & CNS,2,Source
Source,"Basement ",Moray Firth & CNS,,false
Reservoir,Pleistocene,Moray Firth & CNS,,false
Reservoir,Oligo-Miocene,Moray Firth & CNS,,false
Reservoir,Eocene,Moray Firth & CNS,3,Reservoir
Reservoir,Paleocene,Moray Firth & CNS,2,Reservoir
Reservoir,Upper Cretaceous,Moray Firth & CNS,3,Reservoir
Reservoir,Lower Cretaceous,Moray Firth & CNS,2,Reservoir
Reservoir,Upper Jurassic,Moray Firth & CNS,2,Reservoir
Reservoir,Middle Jurassic,Moray Firth & CNS,2,Reservoir
Reservoir,Lower Jurassic,Moray Firth & CNS,2,Reservoir
Reservoir,Triassic,Moray Firth & CNS,,false
Reservoir,Permian,Moray Firth & CNS,1,Reservoir
Reservoir,Carboniferous,Moray Firth & CNS,2,Reservoir
Reservoir,Devonian,Moray Firth & CNS,6,Reservoir
Reservoir,"Basement ",Moray Firth & CNS,,false
Seal,Pleistocene,Moray Firth & CNS,,false
Seal,Oligo-Miocene,Moray Firth & CNS,,false
Seal,Eocene,Moray Firth & CNS,2,Seal
Seal,Paleocene,Moray Firth & CNS,3,Seal
Seal,Upper Cretaceous,Moray Firth & CNS,3,Seal
Seal,Lower Cretaceous,Moray Firth & CNS,6,Seal
Seal,Upper Jurassic,Moray Firth & CNS,,false
Seal,Middle Jurassic,Moray Firth & CNS,4,Seal
Seal,Lower Jurassic,Moray Firth & CNS,7,Seal
Seal,Triassic,Moray Firth & CNS,,false
Seal,Permian,Moray Firth & CNS,2,Seal
Seal,Carboniferous,Moray Firth & CNS,,false
Seal,Devonian,Moray Firth & CNS,1,Seal
Seal,"Basement ",Moray Firth & CNS,,false
Overburden,Pleistocene,Moray Firth & CNS,3,Overburden
Overburden,Oligo-Miocene,Moray Firth & CNS,2,Overburden
Overburden,Eocene,Moray Firth & CNS,,false
Overburden,Paleocene,Moray Firth & CNS,,false
Overburden,Upper Cretaceous,Moray Firth & CNS,5,Overburden
