,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__learning_rate,param_estimator__max_depth,param_estimator__max_features,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__n_estimators,param_estimator__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
41,5.393074687321981,0.38762906790519525,0.004930305480957031,0.0018048856895028413,0.5,10,10,2,10,10,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-58.47641351299402,-53.17847059503182,-119.88280970185141,-174.65852206212244,-67.14546849702099,-75.13467329036162,-72.0012588675144,-63.80161765685955,-23.92211627414178,-36.76313798044108,-56.11674854499854,-40.632289674264214,-55.935957679205345,-52.41195659199633,-65.17834771075908,-61.91395585330396,29.51716888417838,48,-25.636326530447764,-25.45006328337528,-23.923246728982274,-24.453875301864194,-25.249685354872906,-24.00178171809217,-25.58338326391741,-25.747844138967718,-28.171880446394688,-27.261085802125972,-26.346137329393674,-26.87922143668809,-25.902601443293396,-25.54228119607125,-25.319495581876776,-25.697927303757574,1.108894313117336
29,5.022569052378336,0.873801941776608,0.005663029352823893,0.00279512819403906,0.5,10,5,2,10,10,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-56.062199848645164,-56.62324409469299,-125.03319543253174,-175.41207033244424,-65.03531094226585,-81.5746078759835,-68.63332264562578,-70.50748893454427,-26.049952812157272,-38.0078068674455,-60.47747705956267,-39.38783355422561,-56.1584759755818,-55.71895681049593,-67.46036256171223,-63.69858711629819,30.315506084652103,68,-26.502564892843196,-27.23110281883362,-24.67966754619519,-25.34975223746309,-28.111584683075527,-25.436089598064306,-25.88763486457973,-27.659951564921606,-28.737588522878504,-28.61159788102565,-27.185602628566308,-28.340396701981355,-27.539211102342506,-27.359035652167698,-26.602799794310414,-27.01563869928324,1.2050938284239125
89,3.8693469842274983,0.8339849705497019,0.005063851674397786,0.0033936368098013976,0.8,10,10,2,10,10,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-65.30748763841443,-62.00078246692378,-130.4111016013083,-184.24350825459615,-70.13796448584648,-85.43189340802259,-86.58417222925793,-75.24598015647351,-29.87930339773027,-44.55444379125585,-60.61176532465161,-44.5997322126571,-61.81275820435555,-56.60298113096253,-72.14783811525618,-69.3046755166503,31.024371020966015,105,-28.949258114413276,-28.757823274762224,-26.38758326793586,-27.347310051279116,-29.08509072401622,-27.164263406693813,-28.688715961250544,-29.397294376028107,-29.223897264755198,-28.904949395090448,-28.31474874088683,-28.96000113888066,-27.639160558318697,-28.059714090366885,-28.355553439654607,-28.349024253622165,0.8396175641408096
40,5.397204701105753,0.5808787852444196,0.006929254531860352,0.00784781108458839,0.5,10,10,2,10,10,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-58.79717447088149,-53.262962665392685,-123.90507686550771,-177.50886748606223,-72.2107121032445,-75.6085548569858,-75.2855394378065,-74.24237773119505,-25.582917372578606,-38.346441492612655,-61.200945502397204,-39.37682597395511,-57.326699406513015,-54.39206858327329,-65.96683807116696,-63.610036889015085,30.221870108545627,65,-29.238988503663098,-28.55253831496749,-27.184588615989686,-27.145230979503403,-29.364719408256065,-27.53432502755565,-28.40879135656694,-28.779029065060485,-30.702955246217527,-29.584619612453174,-29.063873635687962,-29.813139165709003,-27.976394339710406,-28.754497811271655,-28.59971060233291,-28.713560112329695,0.9528018123563715
28,4.577710072199504,0.6380841541301088,0.0051302274068196615,0.0012031478930057504,0.5,10,5,2,10,10,0.8,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-61.86875528744906,-58.65938150893432,-124.12048996310259,-188.2145437775017,-70.92534635362775,-75.34494776388662,-70.20208609400927,-72.68923195681353,-24.002702210180463,-38.73288836195735,-59.84862618204575,-43.961513369852,-55.25782049416315,-60.109208045147966,-69.94572651539791,-64.91322876493476,31.15283733905677,76,-30.264023907585305,-29.48964250370117,-28.34559646313943,-27.780323657766253,-30.991637589186002,-28.46212535234368,-28.592791703698644,-29.81953082769844,-32.45315256531574,-31.039511506416098,-30.028207621021853,-30.895330000831585,-30.580038465996722,-29.48638850870548,-29.879295783308248,-29.87383976378097,1.2009000333984194
77,3.6330930391947427,0.27820963359634443,0.006862465540568034,0.006382205742245614,0.8,10,5,2,10,10,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 5, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-62.19177180560583,-54.78522245918949,-134.99636924686268,-195.37702622744854,-80.82190987917015,-88.09006309214325,-87.47270705740038,-82.67990031352406,-28.25179435879096,-42.236804530743825,-63.14131490637751,-47.41945933294078,-63.12235796642231,-67.3413457345491,-81.03935921406287,-72.19016432735994,33.29720916781988,119,-30.483085440526214,-30.13332504495411,-28.08832682751887,-28.18126512912611,-31.704227828523006,-27.747855662855102,-31.21050202496674,-29.87313316705137,-31.8561453119902,-31.405146360436028,-31.0782710587064,-31.909111573592195,-30.491762642602453,-29.286582543995543,-30.358805152368518,-30.253836384614193,1.3369498756537557
47,4.201009353001912,0.7118015484861723,0.00439748764038086,0.002025279393146962,0.5,10,10,10,10,10,1.0,"{'estimator__learning_rate': 0.5, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-55.007746742351685,-54.598577710348195,-111.93436342804425,-166.7468906367204,-60.771974653511975,-72.03788382328582,-65.7457608943434,-67.81832712532511,-23.647963754942527,-36.27688409056319,-55.46409140482933,-37.818736773331395,-53.07340468107516,-53.972982714465104,-61.20967121939329,-59.234649378409905,27.673060895249012,21,-31.112445426130677,-31.212175912777205,-28.697021764456508,-29.096858819491775,-30.964273596632676,-29.988300888933868,-30.79700752720396,-30.55909795773646,-32.415455395621336,-31.60664657375968,-31.20737252515777,-32.74939352983489,-31.415382622798244,-30.521686706016265,-30.873683324841465,-30.881120171426186,1.0303378370694767
137,4.10646767616272,0.3849213865857005,0.006662384668986002,0.007439903832515381,1.0,10,10,2,10,10,1.0,"{'estimator__learning_rate': 1.0, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 1.0}",-74.87285234964705,-59.76531762249741,-140.97770851975156,-190.53126089945476,-83.5645462523255,-92.8214998106628,-89.14480616290534,-79.10835784506544,-31.202757825742346,-53.95905173353856,-67.66740911786505,-52.747264628371326,-68.29942873886603,-60.792706390469945,-78.79342317908609,-75.90977875935738,31.93825558827011,126,-31.012188745240188,-32.601855614850514,-28.606720512549487,-30.49751154812797,-27.690987218241098,-29.34043740468626,-33.64323812952874,-31.701336188384072,-33.52067790538646,-31.242466910138226,-30.336976601543192,-31.87301726712035,-31.626458217129844,-30.871017755371618,-30.44630291146467,-31.00074619531751,1.5928735060383017
88,3.2980329195658364,0.26312495717412526,0.004130665461222331,0.001706695310767377,0.8,10,10,2,10,10,0.8,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 10, 'estimator__subsample': 0.8}",-65.41376159632861,-59.315478745937114,-131.51879685202576,-173.08225003003275,-82.60178490190178,-84.51504059482856,-84.46089404543902,-83.94202320797085,-28.191279133646407,-50.336601305263784,-69.78443142641984,-47.0090518778391,-69.4800277228114,-63.472660818364446,-72.79240161833567,-71.44825637516928,29.31308135046292,116,-31.793481569867026,-31.652493112372497,-29.80249971446882,-30.261212975837925,-32.843610795685414,-30.466410332831902,-31.788477606761194,-30.569883147483136,-33.51857770314892,-32.73708225240853,-31.343873907254544,-32.25159554873129,-30.877095462800366,-31.92840202156084,-30.279968045117176,-31.47431094642197,1.0517235832364031
86,2.0071619033813475,0.15203570066482547,0.004463990529378255,0.005520802544171618,0.8,10,10,2,10,5,1.0,"{'estimator__learning_rate': 0.8, 'estimator__max_depth': 10, 'estimator__max_features': 10, 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10, 'estimator__n_estimators': 5, 'estimator__subsample': 1.0}",-64.08859606371814,-60.890029918012125,-130.35958943217486,-184.9562670429885,-76.53404673161874,-86.49885401150463,-85.28048781925142,-72.40121339959981,-29.324684907372067,-44.865335672698926,-61.957985432254745,-45.23760038991723,-59.67417995790781,-55.71784423846695,-73.38402214826348,-69.4074873009623,31.239324925029727,106,-31.458178553937092,-31.755457756375527,-29.883627790311902,-30.398976139107923,-31.881026032691796,-30.291287123692417,-31.001680578993945,-30.920624283177894,-33.37668614257008,-32.32751758038652,-31.183924599966133,-32.54514294603232,-32.47178146150482,-32.00270255740678,-31.41433552644666,-31.52752993817346,0.9192057858874642
