,#DEPTH,DIP,AZIM,QUAL,DEVI,HAZI,AAZI,ADIP,DIPTYPE
0,1886.85,5.5,321.8,1.0,30.9,262.4,270.8,34.0,BED
1,1887.4,12.9,329.4,1.0,30.8,257.0,277.8,36.6,BED
2,1887.97,6.7,326.7,1.0,30.9,255.0,266.5,33.5,BED
3,1888.53,10.5,320.5,1.0,30.8,263.3,277.8,37.4,BED
4,1889.34,6.7,336.3,1.0,30.8,298.0,305.0,36.3,BED
5,1889.68,3.9,306.5,1.0,30.8,299.8,300.6,34.7,BED
6,1890.13,6.3,338.4,1.0,30.8,303.3,309.4,36.1,BED
7,1890.77,2.6,314.7,1.0,31.0,303.5,304.4,33.5,BED
8,1891.27,1.1,284.6,1.0,31.0,303.3,302.6,32.0,BED
9,1891.73,5.5,56.6,1.0,31.1,302.9,313.3,29.3,BED
10,1891.98,1.4,351.4,1.0,31.0,302.4,304.4,32.0,BED
11,1892.41,3.0,321.5,1.0,31.0,301.7,303.5,33.8,BED
12,1892.77,3.0,326.6,1.0,31.0,301.2,303.5,33.8,BED
13,1893.16,3.7,314.5,1.0,31.0,301.2,302.6,34.6,BED
14,1893.56,3.2,63.1,1.0,31.0,297.3,302.6,29.3,BED
15,1893.89,2.9,323.3,1.0,31.0,301.6,303.5,33.7,BED
16,1894.37,0.4,28.1,1.0,31.1,301.8,302.6,31.1,BED
17,1894.67,3.6,309.4,1.0,31.1,301.8,302.6,34.6,BED
18,1895.12,6.4,320.9,1.0,31.0,301.8,305.3,37.1,BED
19,1895.58,4.1,46.0,1.0,31.0,301.9,309.7,30.2,BED
20,1895.84,1.9,312.2,1.0,31.0,302.0,302.6,32.9,BED
21,1896.26,5.2,351.0,1.0,31.0,301.9,308.8,34.6,BED
22,1896.63,5.2,351.2,1.0,31.0,301.9,308.8,34.6,BED
23,1897.12,2.0,5.3,1.0,31.1,301.9,305.3,32.1,BED
24,1897.5,4.5,46.1,1.0,31.1,301.9,310.6,30.3,BED
25,1897.83,8.1,25.2,1.0,31.1,301.9,316.8,32.9,BED
26,1898.02,3.8,323.1,1.0,31.1,302.0,304.4,34.6,BED
27,1898.44,5.7,14.6,1.0,30.9,301.5,311.5,32.9,BED
28,1898.59,5.5,356.4,1.0,31.2,301.9,309.7,34.7,BED
29,1898.91,4.5,315.0,1.0,31.1,301.8,303.5,35.5,BED
30,1899.2,6.2,349.8,1.0,31.1,301.8,309.7,35.5,BED
31,1899.64,3.3,1.4,1.0,31.1,301.9,307.1,32.9,BED
32,1899.92,4.0,59.9,1.0,31.0,301.7,308.8,29.3,BED
33,1900.24,3.0,355.9,1.0,31.0,301.7,306.2,32.9,BED
34,1900.63,2.8,324.7,1.0,31.2,301.5,303.5,33.8,BED
35,1901.05,4.0,333.5,1.0,31.1,301.5,305.3,34.6,BED
36,1901.29,5.0,333.9,1.0,31.1,301.5,306.2,35.4,BED
37,1901.6,6.8,346.6,1.0,31.1,301.5,309.7,36.3,BED
38,1902.11,8.3,333.9,1.0,31.3,301.7,308.8,38.6,BED
39,1902.59,2.7,316.6,1.0,31.2,301.4,302.6,33.8,BED
40,1902.91,6.2,319.8,1.0,31.1,301.1,304.4,37.1,BED
41,1903.29,2.5,82.3,1.0,31.2,301.2,304.4,29.3,BED
42,1903.67,1.9,33.6,1.0,31.2,301.5,305.3,31.2,BED
43,1903.97,3.5,20.6,1.0,31.2,301.4,307.9,32.1,BED
44,1904.25,3.1,52.0,1.0,31.2,301.3,307.1,30.3,BED
45,1904.58,3.8,21.3,1.0,31.6,306.9,313.6,32.8,BED
46,1904.91,3.0,34.9,1.0,31.2,301.4,307.1,31.2,BED
47,1905.14,2.8,326.3,1.0,31.3,301.4,303.5,33.8,BED
48,1905.44,5.8,28.2,1.0,31.3,301.4,312.4,32.1,BED
49,1905.77,2.1,13.2,1.0,31.3,301.5,305.3,32.0,BED
50,1906.06,1.1,344.0,1.0,31.3,301.3,302.6,32.0,BED
51,1906.42,2.0,263.5,1.0,31.3,301.3,299.1,32.9,BED
52,1906.72,2.5,37.3,1.0,31.3,301.3,306.2,31.2,BED
53,1907.02,2.5,306.5,1.0,31.3,301.4,301.8,33.8,BED
54,1907.28,2.1,338.7,1.0,31.3,301.2,303.5,32.9,BED
55,1907.45,5.9,336.7,1.0,31.3,301.3,307.1,36.3,BED
56,1907.74,6.8,318.0,1.0,31.3,301.2,304.4,37.8,BED
57,1908.05,5.4,345.9,1.0,31.4,301.3,307.9,35.4,BED
58,1908.25,4.1,305.8,1.0,31.3,301.2,301.8,35.4,BED
59,1908.59,2.6,330.0,1.0,31.4,301.2,303.5,33.7,BED
60,1908.79,4.4,13.8,1.0,31.4,301.2,308.8,32.9,BED
61,1908.99,1.4,5.7,1.0,31.4,301.2,303.5,32.0,BED
62,1909.36,4.8,16.6,1.0,31.4,301.1,309.7,32.9,BED
63,1909.79,1.3,46.8,1.0,31.4,301.2,303.5,31.1,BED
64,1910.21,6.5,6.2,1.0,31.4,301.1,311.5,34.6,BED
65,1910.5,5.3,329.1,1.0,31.4,301.0,305.3,36.2,BED
66,1910.75,3.2,308.9,1.0,31.4,301.0,301.8,34.6,BED
67,1910.98,5.3,329.5,1.0,31.5,301.0,305.3,36.2,BED
68,1911.25,3.3,23.5,1.0,31.4,300.8,307.1,32.0,BED
69,1911.5,6.5,6.8,1.0,31.5,301.0,311.5,34.6,BED
70,1911.7,2.5,324.9,1.0,31.4,300.8,302.6,33.8,BED
71,1912.07,4.1,359.3,1.0,31.4,300.7,307.1,33.7,BED
