,Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,ILD,ILD2,RHOB,s_Facies
2828,3,A1 SH,CHURCHMAN BIBLE,2917.5,63.5,0.705,4.916,12.174000000000001,3.162,1,1.0,5.069907082747043,5.069907082747043,2308.6012744099953,f_siltstone
2829,3,A1 SH,CHURCHMAN BIBLE,2918.0,80.875,0.7090000000000001,7.513999999999999,13.286,2.932,1,0.95,5.116818355403078,5.116818355403078,2299.922223536535,f_siltstone
2830,3,A1 SH,CHURCHMAN BIBLE,2918.5,87.81299999999999,0.7,7.785,13.212,2.9530000000000003,1,0.9,5.011872336272722,5.011872336272722,2305.6487262104865,f_siltstone
2831,3,A1 SH,CHURCHMAN BIBLE,2919.0,86.75,0.685,7.547000000000001,13.547,3.42,1,0.85,4.841723675840994,4.841723675840994,2290.981428958498,f_siltstone
2832,3,A1 SH,CHURCHMAN BIBLE,2919.5,79.438,0.669,5.912000000000001,12.252,3.324,1,0.8,4.666593803142887,4.666593803142887,2317.8268878496724,f_siltstone
2845,3,A1 SH,CHURCHMAN BIBLE,2926.0,69.25,0.7340000000000001,4.784,13.527000000000001,3.01,1,0.1,5.42000890401624,5.42000890401624,2260.116683918669,f_siltstone
2846,3,A1 SH,CHURCHMAN BIBLE,2926.5,65.625,0.77,1.439,10.182,3.2769999999999997,1,0.05,5.88843655355589,5.88843655355589,2332.831780354298,f_siltstone
2853,6,A1 LM,CHURCHMAN BIBLE,2930.0,39.969,0.9940000000000001,-1.57,6.599,3.467,2,0.935,9.862794856312107,9.862794856312107,2409.6940942207343,wackestone
2854,6,A1 LM,CHURCHMAN BIBLE,2930.5,40.688,0.9840000000000001,-1.8630000000000002,6.306,3.5469999999999997,2,0.924,9.638290236239708,9.638290236239708,2414.9684606923024,wackestone
2855,6,A1 LM,CHURCHMAN BIBLE,2931.0,39.875,0.9390000000000001,-1.6980000000000002,5.2139999999999995,3.799,2,0.9129999999999999,8.689604292863018,8.689604292863018,2452.7938320714275,wackestone
2856,6,A1 LM,CHURCHMAN BIBLE,2931.5,46.813,0.857,-0.436,4.88,4.273,2,0.902,7.194489780036995,7.194489780036995,2482.4650863833685,wackestone
2859,3,A1 LM,CHURCHMAN BIBLE,2933.0,71.563,0.772,3.478,22.156999999999996,2.416,2,0.87,5.91561634175474,5.91561634175474,1949.8591825076148,f_siltstone
2860,3,A1 LM,CHURCHMAN BIBLE,2933.5,75.375,0.746,-0.136,20.595,2.496,2,0.8590000000000001,5.5718574893192985,5.5718574893192985,1969.044048254374,f_siltstone
2862,3,A1 LM,CHURCHMAN BIBLE,2934.5,79.375,0.73,2.966,20.96,2.967,2,0.8370000000000001,5.370317963702527,5.370317963702527,1986.1166902941236,f_siltstone
2863,3,A1 LM,CHURCHMAN BIBLE,2935.0,79.438,0.7340000000000001,1.4880000000000002,19.02,3.406,2,0.826,5.42000890401624,5.42000890401624,2037.411347084619,f_siltstone
2873,6,A1 LM,CHURCHMAN BIBLE,2940.0,92.18799999999999,0.613,4.283,10.511,3.299,2,0.7170000000000001,4.1020410298660686,4.1020410298660686,2358.285597453953,wackestone
2874,6,A1 LM,CHURCHMAN BIBLE,2940.5,104.06299999999999,0.59,4.306,12.247,3.088,2,0.7070000000000001,3.890451449942806,3.890451449942806,2298.7121763746945,wackestone
2875,6,A1 LM,CHURCHMAN BIBLE,2941.0,103.56299999999999,0.58,3.915,12.54,3.2110000000000003,2,0.696,3.8018939632056115,3.8018939632056115,2283.9163322839154,wackestone
2876,6,A1 LM,CHURCHMAN BIBLE,2941.5,99.18799999999999,0.573,3.866,13.175,3.2319999999999998,2,0.685,3.741105882720533,3.741105882720533,2261.5296536709175,wackestone
2877,6,A1 LM,CHURCHMAN BIBLE,2942.0,90.375,0.595,6.422999999999999,13.792,2.9789999999999996,2,0.6629999999999999,3.9355007545577743,3.9355007545577743,2269.6035742917597,wackestone
2878,6,A1 LM,CHURCHMAN BIBLE,2942.5,82.06299999999999,0.625,6.8229999999999995,12.367,3.094,2,0.652,4.216965034285822,4.216965034285822,2324.58407194372,wackestone
2884,6,A1 LM,CHURCHMAN BIBLE,2945.5,44.718999999999994,0.95,0.156,7.412999999999999,3.178,2,0.5870000000000001,8.912509381337454,8.912509381337454,2407.5627825007014,wackestone
