Num,X,Y,Z,Real_Index,Real_Index_Top,Real_Index_Bot_Thick,Oil_GRV_10_6,spill_Z,top_Z,OWC_depth,OWC_area_10_6,nb_Connected,GRV_density__m_,Hc_column__m_,Oil_GRV_quantile,OWC_Base_Area_10_6
1.0,395720.31805999996,7159352.47112,990.57928,0.0,0.0,0.0,104.44463,990.57928,949.99261,990.57928,6.70188,1.0,15.584389999999999,40.58667,73.0,3.51
2.0,395846.3874,7159425.65937,984.03906,1.0,1.0,1.0,68.33327,984.03906,950.99329,984.03906,5.1593800000000005,1.0,13.24448,33.04578,20.0,3.2481299999999997
3.0,395794.94946,7159326.391360001,985.98395,2.0,2.0,2.0,62.895830000000004,985.98395,947.91071,985.98395,4.948119999999999,1.0,12.711039999999999,38.073240000000006,15.5,2.29312
4.0,395721.03963,7159402.465910001,991.8757300000001,3.0,3.0,3.0,79.26017,991.8757300000001,942.9119300000001,991.8757300000001,5.415,1.0,14.63715,48.963809999999995,32.5,3.78312
5.0,394344.48196999996,7157572.14108,996.64435,4.0,4.0,4.0,128.36824,996.64435,944.8585800000001,996.64435,7.77688,1.0,16.5064,51.78577,96.5,4.0225
6.0,395719.95726999996,7159327.47372,987.5474199999999,5.0,5.0,5.0,86.93113000000001,987.5474199999999,950.9418900000001,987.5474199999999,5.708130000000001,1.0,15.229370000000001,36.60553,45.0,3.4625
7.0,395694.95988000004,7159327.83451,993.57971,6.0,6.0,6.0,78.35999,993.57971,951.34204,993.57971,5.47125,1.0,14.32214,42.23767,31.5,2.66875
8.0,395871.3848,7159425.29859,987.84381,7.0,7.0,7.0,101.64483,987.84381,939.9757699999999,987.84381,7.0875,1.0,14.341420000000001,47.86804,71.5,4.25938
9.0,395769.95207,7159326.75215,984.1737099999999,8.0,8.0,8.0,82.04396,984.1737099999999,948.1275,984.1737099999999,5.96938,1.0,13.74415,36.0462,37.0,3.875
10.0,395694.59909000003,7159302.837110001,990.49902,9.0,9.0,9.0,85.89178000000001,990.49902,952.26709,990.49902,5.64625,1.0,15.212179999999998,38.23193,43.0,3.4693699999999996
11.0,395644.6043,7159303.558689999,990.1452,10.0,10.0,10.0,104.05346999999999,990.1452,947.7125900000001,990.1452,6.1193800000000005,1.0,17.00394,42.43262,72.5,3.6131300000000004
12.0,395771.03443,7159401.74434,984.5246,11.0,11.0,11.0,91.78308,984.5246,952.88226,984.5246,5.99125,1.0,15.31952,31.642329999999998,51.5,5.918130000000001
13.0,395546.16094000003,7157679.81028,989.72516,12.0,12.0,12.0,74.08781,989.72516,946.34052,989.72516,5.5656300000000005,1.0,13.311679999999999,43.384640000000005,25.0,2.9131299999999998
14.0,394168.41784,7157499.6744,989.5020099999999,13.0,13.0,13.0,83.65609,989.5020099999999,952.80444,989.5020099999999,6.12625,1.0,13.65535,36.69757,38.5,3.52938
15.0,395721.03963,7159402.465910001,989.9744900000001,14.0,14.0,14.0,100.84378000000001,989.9744900000001,947.82477,989.9744900000001,7.0575,1.0,14.288879999999999,42.14972,69.0,4.574380000000001
16.0,395395.81578,7157656.9776,985.95825,15.0,15.0,15.0,100.42609,985.95825,947.7344400000001,985.95825,6.7975,1.0,14.773970000000002,38.22382,68.5,5.185630000000001
17.0,394668.62347,7159242.6372,973.39435,16.0,16.0,16.0,39.09682,973.39435,948.47095,973.39435,3.12125,1.0,12.526010000000001,24.9234,0.5,3.7418699999999996
18.0,395644.6043,7159303.558689999,986.823,17.0,17.0,17.0,52.55202,986.823,949.8264800000001,986.823,4.958130000000001,1.0,10.599169999999999,36.996520000000004,4.5,2.48125
19.0,392109.97243,7156929.3214300005,984.5291699999999,18.0,18.0,18.0,81.72146,984.5291699999999,950.19604,984.5291699999999,5.46812,1.0,14.94506,34.33313,36.0,3.80188
20.0,395619.6069,7159303.919480001,989.6131,19.0,19.0,19.0,93.7196,989.6131,951.32056,989.6131,6.05125,1.0,15.487639999999999,38.29254,56.0,3.51312
21.0,395820.66843,7159376.02537,994.20886,20.0,20.0,20.0,150.81422,994.20886,948.26166,994.20886,8.23625,1.0,18.31103,45.9472,99.5,5.0593699999999995
22.0,395593.16635,7159204.290680001,990.9433,21.0,21.0,21.0,84.83715,990.9433,941.3537,990.9433,5.19375,1.0,16.33447,49.5896,39.5,3.16875
23.0,394168.77862,7157524.671789999,993.52875,22.0,22.0,22.0,112.01975,993.52875,944.6229199999999,993.52875,7.49937,1.0,14.93721,48.90582,85.0,3.98187
24.0,395720.67885,7159377.46852,987.41797,23.0,23.0,23.0,81.12389,987.41797,952.4771699999999,987.41797,6.11125,1.0,13.27452,34.9408,35.5,4.5968800000000005
25.0,395330.56484,7158332.98967,993.69159,24.0,24.0,24.0,94.82478,993.69159,943.7130099999999,993.69159,5.825,1.0,16.27893,49.97858,57.5,3.4525
